cle_interop;commune_nom;voie_nom;numero;suffixe;commune_insee;position;x;y;cad_parcelles;source;date_der_maj;long;lat;certification_commune;id_ban_commune;id_ban_toponyme;id_ban_adresse
75115_3006_00009_b;Paris;Rue Dupleix;9;B;75115;parcelle;648497.664;6861530.305;75115000DH0027;commune;2026-07-03;2.2981382369694403;48.851753767479266;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;cf177361-fd2a-4a54-887d-cb8c82bb9501
75115_3006_00037;Paris;Rue Dupleix;37;;75115;parcelle;648331.292;6861423.294;75115000DH0005;commune;2026-07-03;2.295884081987646;48.85077810825523;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;cbdb7313-252d-44a4-b926-f8820176c6c1
75115_3006_00021;Paris;Rue Dupleix;21;;75115;parcelle;648428.101;6861500.753;75115000DH0011;commune;2026-07-03;2.2971938831293315;48.85148244516673;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;f9fb138d-5f4f-4ac6-b0ef-571f588e2ff4
75115_3006_00015;Paris;Rue Dupleix;15;;75115;parcelle;648474.559;6861520.492;75115000DH0026;commune;2026-07-03;2.29782457319953;48.85166367288722;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;500d527b-acac-4355-87a0-b091d3c0e51d
75115_3006_00012;Paris;Rue Dupleix;12;;75115;parcelle;648479.869;6861539.008;75115000DI0017;commune;2026-07-03;2.2978946891183916;48.8518306099175;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;a9f7887a-8842-4b7e-895f-e0f56e040edf
75115_3006_00009;Paris;Rue Dupleix;9;;75115;parcelle;648503.249;6861532.677;75115000DH0027;commune;2026-07-03;2.2982140567479457;48.85177554503907;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;86eac7c2-867f-43b9-8f0b-af2110eaeda9
75115_3006_00023;Paris;Rue Dupleix;23;;75115;parcelle;648410.997;6861493.527;75115000DH0011;commune;2026-07-03;2.2969616840803564;48.85141609322272;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;d59ca306-eb80-44be-8263-d371e41646be
75115_3006_00003;Paris;Rue Dupleix;3;;75115;parcelle;648555.851;6861555.001;75115000DH0029;commune;2026-07-03;2.2989281660646883;48.85198050456258;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;627e6b7b-d04e-4a69-8ea7-d7092c805d53
75115_3006_00017;Paris;Rue Dupleix;17;;75115;parcelle;648462.421;6861515.334;75115000DH0025;commune;2026-07-03;2.2976597935901935;48.851616316733285;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;fecdf8ae-0030-4d1d-ba43-27cd2f22ab37
75115_3006_00022;Paris;Rue Dupleix;22;;75115;parcelle;648420.612;6861515.4;75115000DI0013;commune;2026-07-03;2.297090053911339;48.85161356459026;1;c3fc2e62-e21e-4ea7-8a03-eb5359a5fb76;214d992f-ed10-4dd2-9a9c-6a70711c6cbc;9538c734-2db2-4932-ada4-7e1e5ea2ee4f
